,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vila Franca do Campo,20,PT,1525672800,81,37.72,-25.43,51.8,2.24
1,Guerrero Negro,8,MX,1525674978,97,27.97,-114.04,56.37,4.72
2,Houma,48,CN,1525675389,56,35.63,111.36,70.41,2.71
3,Hilo,90,US,1525672860,83,19.71,-155.08,75.2,8.05
4,Lulea,0,SE,1525672200,60,65.58,22.15,41.0,8.05
5,Oneonta,64,US,1525675390,98,42.45,-75.06,53.04,3.38
6,Atuona,92,PF,1525675391,98,-9.8,-139.03,81.93,13.22
7,Gushikawa,75,JP,1525672800,69,26.35,127.87,82.4,19.46
8,Rikitea,80,PF,1525674979,100,-23.12,-134.97,76.71,10.31
9,Hermanus,56,ZA,1525675010,43,-34.42,19.24,62.94,4.72
10,Pisco,0,PE,1525672800,88,-13.71,-76.2,66.2,6.93
11,Eureka,90,US,1525672500,81,40.8,-124.16,53.6,3.6
12,Punta Arenas,40,CL,1525672800,75,-53.16,-70.91,46.4,4.7
13,Cape Town,75,ZA,1525672800,35,-33.93,18.42,71.6,9.17
14,Nome,1,US,1525673700,88,30.04,-94.42,64.4,1.81
15,Dondo,0,MZ,1525675410,78,-19.62,34.74,75.18,5.17
16,Vallenar,80,CL,1525675411,90,-28.58,-70.76,50.16,2.26
17,Castro,44,CL,1525675033,99,-42.48,-73.76,47.37,2.59
18,Ushuaia,8,AR,1525674989,100,-54.81,-68.31,36.84,6.96
19,San Patricio,44,PY,1525675129,92,-26.98,-56.83,68.61,3.94
20,Barrow,0,AR,1525675000,94,-38.31,-60.23,58.62,11.21
21,Luderitz,80,NA,1525675055,91,-26.65,15.16,59.34,4.38
22,Henties Bay,56,NA,1525675413,100,-22.12,14.28,62.94,9.08
23,Karpogory,92,RU,1525675413,98,64.0,44.44,41.7,3.15
24,Codrington,92,AU,1525675117,72,-28.95,153.24,67.89,4.16
25,Mahebourg,40,MU,1525672800,61,-20.41,57.7,82.4,9.17
26,Dargaville,0,NZ,1525675414,73,-35.94,173.86,57.63,9.19
27,Komsomolskiy,24,RU,1525675054,100,67.55,63.78,24.51,4.94
28,Bluff,92,AU,1525674993,99,-23.58,149.07,64.38,11.65
29,Bredasdorp,0,ZA,1525672800,93,-34.53,20.04,59.0,5.82
30,Carnarvon,0,ZA,1525675013,41,-30.97,22.13,47.91,9.19
31,Bubaque,0,GW,1525672800,78,11.28,-15.83,71.6,6.93
32,Bambanglipuro,64,ID,1525675416,63,-7.95,110.28,87.6,8.41
33,Bambous Virieux,40,MU,1525672800,61,-20.34,57.76,82.4,9.17
34,Khatanga,0,RU,1525675030,97,71.98,102.47,19.02,9.31
35,Kloulklubed,75,PW,1525672380,70,7.04,134.26,87.8,5.82
36,Ekhabi,0,RU,1525675418,100,53.51,142.97,32.7,5.95
37,Bluefield,1,US,1525673700,81,37.27,-81.22,57.2,3.36
38,Jamestown,32,AU,1525674992,29,-33.21,138.6,65.73,15.23
39,Norman Wells,20,CA,1525672800,59,65.28,-126.83,35.6,4.7
40,Busselton,0,AU,1525675036,100,-33.64,115.35,64.74,6.62
41,Albany,75,US,1525673640,100,42.65,-73.75,53.6,6.73
42,Purwodadi,12,ID,1525675421,68,-7.08,110.92,91.11,4.16
43,Hithadhoo,80,MV,1525675001,100,-0.6,73.08,82.2,5.95
44,Aripuana,24,BR,1525675422,94,-9.17,-60.63,74.01,1.81
45,Akdepe,0,TM,1525672800,25,42.05,59.39,66.2,16.11
46,Arraial do Cabo,76,BR,1525675005,100,-22.97,-42.02,70.5,6.96
47,Totma,20,RU,1525675423,83,59.98,42.76,54.3,8.52
48,Thompson,20,CA,1525672800,65,55.74,-97.86,46.4,3.15
49,Erenhot,0,CN,1525675424,41,43.65,111.97,78.87,5.73
50,Xai-Xai,44,MZ,1525675424,98,-25.04,33.64,73.74,7.52
51,Salalah,0,OM,1525672200,70,17.01,54.1,87.8,5.82
52,Ponta do Sol,8,BR,1525674984,91,-20.63,-46.0,61.32,5.28
53,Sao Joao da Barra,68,BR,1525675425,100,-21.64,-41.05,73.11,4.5
54,Beringovskiy,68,RU,1525675035,98,63.05,179.32,23.7,16.24
55,Port Elizabeth,90,US,1525672860,87,39.31,-74.98,59.0,6.62
56,Port Hawkesbury,90,CA,1525672800,87,45.62,-61.36,48.2,5.82
57,Qaanaaq,36,GL,1525675027,66,77.48,-69.36,2.37,6.96
58,Fortuna,0,ES,1525672800,87,38.18,-1.13,59.0,2.24
59,Znamenskoye,80,RU,1525675427,86,57.13,73.82,42.42,6.73
60,Tuktoyaktuk,8,CA,1525672800,74,69.44,-133.03,12.2,13.87
61,Saldanha,0,PT,1525675059,86,41.42,-6.55,48.54,3.49
62,Saint-Philippe,75,CA,1525673700,42,45.36,-73.48,51.8,16.11
63,Nanortalik,44,GL,1525675085,100,60.14,-45.24,26.94,4.94
64,Torrijos,0,ES,1525672800,93,39.98,-4.28,55.4,3.36
65,Geraldton,5,CA,1525672800,86,49.72,-86.95,30.2,7.29
66,Zhigansk,92,RU,1525675430,77,66.77,123.37,35.94,4.61
67,Batagay-Alyta,92,RU,1525675430,87,67.8,130.41,25.32,4.16
68,Yulara,0,AU,1525672800,14,-25.24,130.99,82.4,6.93
69,Chokurdakh,48,RU,1525675097,97,70.62,147.9,20.1,12.88
70,Petropavlovsk-Kamchatskiy,75,RU,1525672800,85,53.05,158.65,39.2,8.95
71,Belmonte,0,PT,1525675058,80,40.36,-7.35,49.62,3.38
72,Kalmunai,8,LK,1525675157,69,7.42,81.82,90.93,4.83
73,Kudahuvadhoo,56,MV,1525675205,100,2.67,72.89,83.1,7.74
74,Port Alfred,80,ZA,1525675045,95,-33.59,26.89,71.04,11.43
75,Bada,8,NG,1525675433,73,12.41,4.51,80.22,13.0
76,Hobart,0,AU,1525672800,32,-42.88,147.33,66.2,19.46
77,Cinco Esquinas,0,CR,1525672800,83,9.95,-84.08,69.8,4.7
78,Vaini,0,IN,1525674984,58,15.34,74.49,90.39,6.17
79,Isangel,0,VU,1525675034,100,-19.55,169.27,77.43,18.03
80,Neuquen,75,AR,1525672800,87,-38.95,-68.06,59.0,8.05
81,Mataura,92,NZ,1525674994,79,-46.19,168.86,54.21,19.93
82,Half Moon Bay,1,US,1525672800,67,37.46,-122.43,60.8,4.7
83,Vestmannaeyjar,92,IS,1525675082,98,63.44,-20.27,41.43,15.79
84,New Norfolk,0,AU,1525672800,32,-42.78,147.06,66.2,19.46
85,Casablanca,75,MA,1525672800,93,33.6,-7.62,59.0,10.29
86,Chake Chake,88,TZ,1525675440,100,-5.25,39.77,79.23,13.78
87,Leh,92,IN,1525675440,98,34.16,77.58,27.21,1.59
88,Yellowknife,20,CA,1525672800,74,62.45,-114.38,37.4,6.93
89,Eidsvag,75,NO,1525672200,93,62.78,8.07,51.8,31.09
90,Krasnogorskoye,44,RU,1525675442,79,57.7,52.5,49.44,9.42
91,Puerto Ayora,68,EC,1525675039,99,-0.74,-90.35,75.72,6.96
92,Vanimo,32,PG,1525675050,100,-2.67,141.3,81.39,7.4
93,Alekseyevsk,92,RU,1525675443,54,57.84,108.35,43.95,5.73
94,De Aar,0,ZA,1525675443,49,-30.65,24.01,44.76,5.28
95,Lavrentiya,88,RU,1525675115,100,65.58,-170.99,26.4,3.94
96,Zhangye,0,CN,1525675444,61,38.94,100.46,70.77,6.85
97,Saint-Joseph,0,FR,1525672800,87,43.56,6.97,64.4,2.24
98,Jardim,68,BR,1525675446,81,-21.48,-56.15,69.6,4.16
99,Upernavik,48,GL,1525675007,93,72.79,-56.15,8.94,6.96
100,San Felipe,0,CL,1525672800,82,-32.75,-70.73,55.4,6.93
101,Golden,0,CA,1525675157,91,51.3,-116.96,33.15,2.15
102,Iqaluit,5,CA,1525672800,77,63.75,-68.52,-0.41,8.05
103,Askiz,32,RU,1525675449,66,53.13,90.53,37.29,17.58
104,Berlevag,40,NO,1525672200,99,70.86,29.09,39.2,23.04
105,Priiskovyy,0,RU,1525675450,55,51.93,116.63,63.3,10.42
106,Keffi,88,NG,1525675450,95,8.85,7.88,71.85,6.4
107,Puerto Baquerizo Moreno,92,EC,1525675451,98,-0.9,-89.6,77.52,10.54
108,Husavik,0,CA,1525675070,55,50.56,-96.99,52.32,12.33
109,Lengshuitan,68,CN,1525675452,100,26.41,111.6,68.7,6.62
110,Laguna,0,MX,1525675452,54,27.52,-110.01,73.29,2.04
111,Kropotkin,48,RU,1525675453,50,45.43,40.58,72.84,5.73
112,Ahipara,0,NZ,1525675194,88,-35.17,173.16,59.88,9.98
113,Kavieng,80,PG,1525675070,100,-2.57,150.8,77.52,8.19
114,Prince Rupert,1,CA,1525672800,93,54.32,-130.32,50.0,2.24
115,Victoria,75,BN,1525672800,70,5.28,115.24,89.6,4.7
116,Tortoli,40,IT,1525672500,93,39.93,9.66,55.4,6.93
117,High Level,1,CA,1525672800,32,58.52,-117.13,55.4,8.05
118,Sawakin,0,SD,1525675456,74,19.1,37.33,85.26,3.71
119,Klaksvik,64,FO,1525672200,81,62.23,-6.59,42.8,6.93
120,Leningradskiy,0,RU,1525674995,79,69.38,178.42,12.81,3.38
121,Sao Felix do Xingu,0,BR,1525675457,87,-6.64,-51.99,72.12,0.13
122,Stokmarknes,0,NO,1525672200,56,68.56,14.91,42.8,6.93
123,Port Hardy,40,CA,1525672800,93,50.7,-127.42,50.0,2.04
124,Ketchikan,1,US,1525672560,76,55.34,-131.65,55.4,9.17
125,Venice,90,US,1525673700,88,27.1,-82.45,75.2,10.29
126,Kapaa,75,US,1525672560,73,22.08,-159.32,73.4,18.34
127,Farmington,1,US,1525672380,30,36.73,-108.21,55.4,8.05
128,Mahur,92,IN,1525675460,95,25.18,93.12,70.95,2.15
129,Okhotsk,0,RU,1525675461,73,59.36,143.24,42.96,5.5
130,Nikolskoye,0,RU,1525672800,67,59.7,30.79,57.2,6.71
131,Manaure,80,CO,1525675461,94,11.78,-72.45,81.12,14.23
132,Sao Gabriel da Cachoeira,80,BR,1525675462,93,-0.13,-67.09,73.74,2.37
133,Sao Filipe,0,CV,1525675072,100,14.9,-24.5,69.24,16.91
134,Khromtau,8,KZ,1525675463,34,50.26,58.44,57.99,16.13
135,Punta Alta,0,AR,1525672800,88,-27.46,-55.82,69.8,4.7
136,Namibe,0,AO,1525675105,100,-15.19,12.15,74.01,10.76
137,Coihaique,0,CL,1525673580,93,-45.58,-72.07,35.6,1.12
138,Dum Duma,75,IN,1525672800,58,27.57,95.57,84.2,6.93
139,Cidreira,12,BR,1525675016,85,-30.17,-50.22,68.16,12.21
140,Necochea,0,AR,1525674906,98,-38.55,-58.74,57.72,9.86
141,Butaritari,76,KI,1525674978,100,3.07,172.79,84.09,6.96
142,Yar-Sale,8,RU,1525675466,100,66.83,70.83,10.47,7.74
143,Vao,8,EE,1525675466,77,59.1,26.19,53.13,5.39
144,Robertsport,92,LR,1525675467,100,6.75,-11.37,80.67,2.59
145,Makokou,92,GA,1525675467,97,0.56,12.85,73.29,2.71
146,Atar,0,MR,1525675214,34,20.52,-13.05,59.7,5.61
147,Nioro,8,GM,1525675469,42,13.79,-15.05,72.93,9.64
148,Alofi,0,NU,1525672800,73,-19.06,-169.92,73.4,5.82
149,Taoudenni,24,ML,1525675470,38,22.68,-3.98,68.34,11.32
150,Kahului,75,US,1525672560,100,20.89,-156.47,69.8,9.17
151,Timmins,40,CA,1525672800,79,48.48,-81.33,26.6,2.24
152,Muyezerskiy,0,RU,1525675471,84,63.93,31.65,43.41,3.49
153,Khovu-Aksy,88,RU,1525675472,64,51.13,93.72,34.23,3.38
154,San Juan,20,PR,1525672560,78,18.47,-66.12,78.8,5.82
155,Sapucaia,24,BR,1525675473,92,-21.99,-42.91,54.39,2.37
156,Waingapu,0,ID,1525675473,55,-9.65,120.26,86.97,15.12
157,Shelburne,90,CA,1525672800,81,44.08,-80.2,55.4,4.7
158,Kuusamo,0,FI,1525674000,45,65.96,29.19,42.8,3.36
159,Parabel,36,RU,1525675474,56,58.71,81.5,31.98,7.74
160,Goderich,0,CA,1525675475,86,43.74,-81.71,42.24,10.76
161,Bilibino,48,RU,1525675020,66,68.06,166.44,32.25,3.04
162,Victoria Point,75,AU,1525672800,68,-27.58,153.3,71.6,6.93
163,Kaitangata,20,NZ,1525674999,67,-46.28,169.85,55.02,25.19
164,Contamana,32,PE,1525675477,95,-7.35,-75.01,73.38,1.59
165,Lebu,8,ET,1525675053,51,8.96,38.73,68.25,3.71
166,Kodiak,1,US,1525672380,68,39.95,-94.76,64.4,9.17
167,Faya,0,SA,1525672800,22,18.39,42.45,78.8,6.93
168,Maryville,1,US,1525672500,76,40.35,-94.87,64.4,4.7
169,Humberto de Campos,76,BR,1525675478,100,-2.6,-43.46,75.36,5.39
170,Tiksi,32,RU,1525675001,88,71.64,128.87,22.17,7.18
171,Nuuk,0,GL,1525672200,85,64.17,-51.74,17.6,9.17
172,Torbay,90,CA,1525672800,70,47.66,-52.73,46.4,9.17
173,Allapalli,44,IN,1525675480,35,19.43,80.06,98.49,10.76
174,Dikson,0,RU,1525675112,92,73.51,80.55,16.95,7.63
175,Bow Island,1,CA,1525672800,48,49.87,-111.38,60.8,2.24
176,Trelew,76,AR,1525675481,92,-43.25,-65.31,58.26,11.77
177,College,20,US,1525672680,75,64.86,-147.8,41.0,11.41
178,Chumikan,0,RU,1525675481,53,54.72,135.31,49.17,3.15
179,Saskylakh,8,RU,1525675101,99,71.97,114.09,19.56,6.51
180,Portland,90,US,1525673040,77,45.52,-122.67,60.8,5.82
181,Kigorobya,80,UG,1525675482,100,1.62,31.31,71.85,5.39
182,Bathsheba,20,BB,1525672800,78,13.22,-59.52,77.0,21.92
183,Ilulissat,48,GL,1525675083,78,69.22,-51.1,4.44,2.48
184,Sitka,80,US,1525675005,30,37.17,-99.65,73.11,14.23
185,Avarua,40,CK,1525672800,88,-21.21,-159.78,78.8,8.05
186,Shache,92,CN,1525675484,20,38.42,77.24,64.83,15.9
187,Roald,75,NO,1525674000,100,62.58,6.12,50.0,9.17
188,Sorland,90,NO,1525672200,80,67.67,12.69,42.8,16.11
189,Esperance,20,TT,1525672800,83,10.24,-61.45,77.0,9.17
190,Tabas,12,IR,1525675486,29,33.6,56.92,80.49,3.94
191,Wellington,0,NZ,1525674600,67,-41.29,174.78,57.2,13.87
192,Visby,0,SE,1525672200,67,57.64,18.3,57.2,2.24
193,Lompoc,90,US,1525672680,93,34.64,-120.46,57.2,4.7
194,Georgetown,20,GY,1525669200,100,6.8,-58.16,75.2,4.7
195,Tuatapere,76,NZ,1525675033,100,-46.13,167.69,52.95,21.83
196,Port Hedland,0,AU,1525672800,31,-20.31,118.58,91.4,19.46
197,Lorengau,44,PG,1525675008,100,-2.02,147.27,84.18,7.96
198,Nenjiang,48,CN,1525675488,50,49.17,125.23,60.33,8.75
199,Port Blair,48,IN,1525675036,100,11.67,92.75,86.16,3.71
200,Pouebo,20,NC,1525675489,70,-20.4,164.57,77.88,12.21
201,Ust-Nera,0,RU,1525675489,77,64.57,143.24,43.68,2.48
202,Hobyo,0,SO,1525674983,100,5.35,48.53,81.3,8.63
203,Tacoronte,75,ES,1525672800,93,28.48,-16.41,60.8,11.41
204,Chuy,80,UY,1525675016,87,-33.69,-53.46,66.36,10.98
205,Provideniya,75,RU,1525672800,79,64.42,-173.23,24.8,4.47
206,Bonavista,76,CA,1525675002,81,48.65,-53.11,37.83,6.85
207,Souillac,0,FR,1525672800,87,45.6,-0.6,59.0,2.93
208,Faanui,88,PF,1525675004,100,-16.48,-151.75,81.39,14.12
209,Kavaratti,12,IN,1525674992,100,10.57,72.64,85.35,3.38
210,Yumen,0,CN,1525675164,29,40.29,97.04,75.72,5.06
211,Luanda,75,AO,1525672800,88,-8.83,13.24,80.6,4.7
212,Tongling,92,CN,1525675493,90,30.93,117.81,65.64,8.19
213,Lagoa,0,PT,1525672800,77,37.14,-8.45,62.6,5.82
214,Bethel,90,US,1525672380,80,60.79,-161.76,35.6,12.75
215,Camocim,88,BR,1525675037,98,-2.9,-40.84,75.36,3.71
216,Buala,92,SB,1525675151,82,-8.15,159.59,84.45,9.98
217,Fairbanks,20,US,1525672680,75,64.84,-147.72,41.0,11.41
218,Floriano,24,BR,1525675496,80,-6.77,-43.02,72.66,5.06
219,Tasiilaq,0,GL,1525672200,44,65.61,-37.64,19.4,3.36
220,Beisfjord,0,NO,1525672200,48,68.38,17.6,42.8,11.41
221,Jerantut,44,MY,1525675498,73,3.94,102.37,84.9,2.48
222,Price,1,US,1525672380,30,39.6,-110.81,55.4,6.93
223,Meulaboh,24,ID,1525675499,100,4.14,96.13,85.44,2.93
224,Mackay,1,CA,1525672800,39,53.65,-115.58,50.0,5.82
225,Aku,48,NG,1525675500,88,7.36,7.54,75.18,8.97
226,Kibaya,75,RW,1525672800,100,-2.2,30.56,62.6,2.24
227,Lahad Datu,20,MY,1525675501,79,5.02,118.33,86.16,3.6
228,Srandakan,64,ID,1525675502,63,-7.94,110.25,87.6,8.41
229,Tall Kayf,75,TR,1525673280,56,37.08,41.07,71.6,13.87
230,Panaba,0,MX,1525675503,87,21.28,-88.27,70.86,4.38
231,Hasaki,75,JP,1525674000,93,35.73,140.83,64.4,6.93
232,Sangar,68,RU,1525675131,95,63.92,127.47,44.58,5.73
233,Richards Bay,0,ZA,1525675504,85,-28.77,32.06,60.51,2.93
234,Lancaster,90,US,1525673820,93,40.04,-76.31,53.6,6.93
235,Oranjemund,92,ZA,1525675504,92,-28.55,16.43,62.58,17.47
236,Barabai,20,ID,1525675505,85,-2.59,115.38,84.0,3.04
237,Dunedin,0,NZ,1525675219,58,-45.87,170.5,55.29,16.91
238,Cabo San Lucas,0,MX,1525675105,89,22.89,-109.91,75.0,9.19
239,Novyy Karachay,92,RU,1525675506,99,43.82,41.9,50.88,2.71
240,Clyde River,1,CA,1525672800,83,70.47,-68.59,-9.41,3.83
241,Mar del Plata,0,AR,1525675017,100,-46.43,-67.52,35.31,3.15
242,Kattivakkam,40,IN,1525672800,53,13.22,80.32,96.8,6.93
243,Leshukonskoye,92,RU,1525675507,100,64.9,45.76,39.63,3.49
244,Rognan,75,NO,1525674000,70,67.1,15.4,44.6,13.87
245,Fairlie,1,US,1525673700,88,33.31,-95.96,64.4,9.31
246,Drammen,0,NO,1525672200,66,59.74,10.2,51.8,10.29
247,Ocara,68,BR,1525675509,100,-4.49,-38.6,72.03,0.69
248,Dromolaxia,20,CY,1525672800,64,34.88,33.59,73.4,3.36
249,Saint-Augustin,0,FR,1525672800,93,44.83,-0.61,59.0,2.71
250,Ribeira Grande,75,PT,1525672800,88,38.52,-28.7,64.4,8.05
251,Lalmohan,48,BD,1525675511,67,22.34,90.74,91.92,16.13
252,Dolores,20,UY,1525675512,79,-33.53,-58.22,67.26,15.23
253,Lovozero,8,RU,1525675512,86,68.01,35.02,36.66,4.05
254,Beckley,40,US,1525673700,93,37.78,-81.19,51.8,3.15
255,Severo-Kurilsk,20,RU,1525675028,95,50.68,156.12,36.66,3.71
256,Shimoda,75,JP,1525674060,100,34.7,138.93,66.2,14.99
257,Colares,90,PT,1525672800,93,38.8,-9.45,60.8,3.36
258,Hofn,32,IS,1525675174,93,64.25,-15.21,41.79,22.06
259,Bondo,68,CD,1525675514,91,3.81,23.69,75.36,2.93
260,Arlit,0,NE,1525675097,20,18.74,7.39,66.36,3.83
261,Nyurba,8,RU,1525675515,51,63.29,118.35,49.08,10.65
262,Buraydah,75,SA,1525672800,28,26.33,43.97,95.0,8.05
263,Mogadishu,75,SO,1525672800,79,2.04,45.34,84.2,8.05
264,Pandan,0,PH,1525675516,100,11.72,122.09,84.27,8.97
265,Jeremoabo,88,BR,1525675516,97,-10.08,-38.34,70.95,4.72
266,Broome,0,GB,1525672560,87,52.47,1.45,55.4,2.24
267,Nemuro,20,JP,1525672800,66,43.32,145.57,50.0,11.41
268,Hualmay,32,PE,1525675517,100,-11.1,-77.61,62.76,0.92
269,Takoradi,0,GH,1525675010,100,4.89,-1.75,77.61,1.92
270,General Roca,75,AR,1525672800,87,-39.03,-67.58,59.0,8.05
271,Porto Nacional,8,BR,1525675519,44,-10.7,-48.41,78.51,8.75
272,Changde,64,CN,1525675519,98,29.04,111.68,69.69,6.62
273,Seoul,0,KR,1525672800,41,37.57,126.98,77.0,8.05
274,Miramar,0,CR,1525672800,83,10.09,-84.73,69.8,4.7
275,Saqqez,80,IR,1525675520,66,36.24,46.27,61.23,2.93
276,San Quintin,20,PH,1525672800,63,17.54,120.52,91.4,6.93
277,Red Bluff,1,US,1525674900,36,40.18,-122.24,64.4,3.36
278,East London,40,ZA,1525674000,100,-33.02,27.91,68.0,2.24
279,Uyovu,8,TZ,1525675522,80,-3.28,31.53,70.23,2.26
280,Narsaq,0,GL,1525672200,36,60.91,-46.05,30.2,6.93
281,Troitskoye,80,RU,1525675523,71,52.98,84.68,39.9,13.0
282,Bud,75,NO,1525672200,81,62.91,6.91,51.8,13.87
283,Avera,1,US,1525672500,93,33.19,-82.53,66.2,6.62
