,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,Sergeyevka,92,KZ,1525674982,70,53.88,67.42,49.26,23.29
285,Sechura,32,PE,1525675524,86,-5.56,-80.82,70.14,9.98
286,Airai,32,TL,1525675107,52,-8.93,125.41,81.84,3.04
287,Namatanai,64,PG,1525675116,100,-3.66,152.44,80.67,6.51
288,Matiri,80,UG,1525675525,100,0.58,30.76,65.28,4.05
289,Karratha,0,AU,1525675106,15,-20.74,116.85,98.04,11.54
290,Cherskiy,88,RU,1525675215,82,68.75,161.3,30.36,6.06
291,Nambour,92,AU,1525675526,100,-26.63,152.96,64.74,6.62
292,Vytegra,80,RU,1525675527,73,61.01,36.45,47.01,8.86
293,El Fuerte,12,MX,1525675528,45,26.42,-108.62,76.62,2.15
294,Brae,40,GB,1525672200,87,60.4,-1.35,44.6,4.7
295,Nosy Varika,76,MG,1525675529,100,-20.58,48.53,75.36,3.04
296,Martinsville,1,US,1525673700,100,36.69,-79.87,62.6,7.18
297,Mali,8,CN,1525675530,39,27.53,102.2,73.74,1.92
298,Kihei,75,US,1525672560,100,20.76,-156.45,69.8,9.17
299,Auki,0,NG,1525675531,74,12.18,6.51,78.51,11.88
300,Saint-Quentin,92,CA,1525675531,69,47.51,-67.39,33.33,3.71
301,Jeremie,56,HT,1525675532,96,18.65,-74.12,78.96,11.21
302,Gweta,0,BW,1525675532,46,-20.21,25.26,56.55,6.62
303,Tessalit,0,ML,1525675533,27,20.2,1.01,62.58,2.71
304,San Jeronimo,0,PE,1525675533,99,-13.65,-73.37,33.06,1.92
305,Naze,40,NG,1525672800,94,5.43,7.07,77.0,2.24
306,Majene,0,ID,1525675534,88,-3.54,118.97,86.88,15.68
307,West Bay,0,GB,1525672200,93,50.71,-2.76,48.2,1.12
308,Akdagmadeni,0,TR,1525675535,89,39.66,35.88,56.91,3.94
309,Greensburg,1,US,1525672500,93,30.83,-90.67,64.4,2.15
310,Acajutla,0,SV,1525675536,92,13.59,-89.83,75.54,3.83
311,Turukhansk,92,RU,1525675536,100,65.8,87.96,18.93,6.4
312,Bratsk,40,RU,1525672800,69,56.15,101.63,35.6,4.47
313,Zhezkazgan,0,KZ,1525672800,31,47.8,67.71,46.4,13.42
314,Darnah,0,LY,1525675538,94,32.77,22.64,67.44,14.12
315,Westport,90,IE,1525672800,100,53.8,-9.52,48.2,6.93
316,Havre-Saint-Pierre,40,CA,1525672800,80,50.23,-63.6,32.0,8.05
317,Pangnirtung,90,CA,1525672800,77,66.15,-65.72,6.8,5.82
318,Longyearbyen,75,NO,1525672200,74,78.22,15.63,33.8,17.22
319,Cockburn Town,48,TC,1525675209,97,21.46,-71.14,79.23,24.74
320,San Matias,75,HN,1525672800,68,13.97,-86.63,69.8,6.93
321,Surt,0,LY,1525675541,83,31.21,16.59,67.26,13.44
322,Katsuura,75,JP,1525673700,100,33.93,134.5,69.8,5.82
323,Luleburgaz,75,TR,1525672200,93,41.4,27.36,60.8,6.93
324,Mitu,80,IR,1525675542,66,36.2,46.09,61.23,2.93
325,Grimshaw,40,CA,1525672800,31,56.19,-117.61,59.0,6.93
326,Pevek,20,RU,1525674998,78,69.7,170.27,18.93,4.16
327,Maldonado,0,UY,1525672800,93,-34.91,-54.96,62.6,3.36
328,Dali,0,CN,1525675543,60,25.6,100.24,70.59,2.37
329,Montepuez,48,MZ,1525675544,89,-13.13,39.0,71.04,9.98
330,Ushibuka,92,JP,1525675544,96,32.19,130.02,68.34,12.55
331,Tiarei,20,PF,1525674600,74,-17.53,-149.33,78.8,2.24
332,Hambantota,48,LK,1525675046,99,6.12,81.12,84.54,8.3
333,San Pedro,92,AR,1525675031,78,-33.68,-59.66,69.42,14.45
334,Manati,0,AL,1525674000,82,41.76,19.67,66.2,2.24
335,Murray Bridge,24,AU,1525675547,70,-35.12,139.28,65.91,21.27
336,Polunochnoye,92,RU,1525675548,97,60.87,60.43,42.51,9.64
337,Staffanstorp,0,SE,1525674000,58,55.64,13.21,62.6,5.82
338,Turayf,90,SA,1525672800,56,31.68,38.65,71.6,23.04
339,Kruisfontein,0,ZA,1525675004,91,-34.0,24.73,65.64,15.01
340,Aljezur,44,PT,1525675549,97,37.31,-8.8,59.16,2.15
341,Muroto,75,JP,1525674480,94,33.37,134.14,68.0,4.7
342,Ha Giang,0,VN,1525675550,71,22.83,104.99,83.46,2.15
343,Camabatela,8,AO,1525675550,91,-8.19,15.37,61.95,0.92
344,Ä°stisu,0,AZ,1525675551,79,40.95,48.07,65.46,2.93
345,Mantua,75,IT,1525672500,82,45.16,10.79,64.4,3.36
346,Zyryanka,76,RU,1525675551,68,65.73,150.89,39.9,6.96
347,Saint George,75,GR,1525672200,88,39.45,22.34,64.4,6.93
348,Saint-Leu,0,RE,1525672800,57,-21.15,55.28,80.6,3.36
349,Praxedis Guerrero,1,MX,1525672680,9,31.37,-106.02,77.0,11.41
350,Djambala,88,CG,1525675553,96,-2.55,14.76,70.41,6.17
351,Itarare,12,BR,1525675553,91,-24.11,-49.33,62.31,8.75
352,Bealanana,24,MG,1525675553,59,-14.54,48.75,71.4,3.15
353,Saraland,1,US,1525674900,93,30.82,-88.07,60.8,4.16
354,Nzega,20,TZ,1525675555,64,-4.22,33.19,73.47,9.42
355,Paita,64,PE,1525675555,80,-5.09,-81.11,70.41,4.72
356,Lucapa,56,AO,1525675556,90,-8.42,20.74,70.23,5.73
357,Srednekolymsk,24,RU,1525675079,78,67.46,153.71,34.05,7.96
358,Sarangani,12,PH,1525675154,100,5.4,125.46,84.36,3.71
359,Linxia,8,CN,1525675557,43,35.6,103.21,64.11,3.38
360,Aklavik,20,CA,1525672800,62,68.22,-135.01,24.8,8.05
361,Fort Nelson,75,CA,1525672800,57,58.81,-122.69,50.0,3.36
362,Ixtapa,5,MX,1525671840,94,20.71,-105.21,77.0,2.15
363,Le Port,44,FR,1525675559,92,42.87,1.37,45.3,1.7
364,Aqtobe,0,KZ,1525672800,26,50.28,57.21,59.0,15.66
365,Partizanskoye,24,UA,1525675560,79,44.83,34.08,66.9,3.94
366,Vardo,1,US,1525673700,93,39.62,-77.74,55.4,5.95
367,Kozmodemyansk,0,RU,1525672800,58,56.33,46.55,53.6,6.71
368,Weligama,36,LK,1525675561,100,5.97,80.42,83.28,5.17
369,Ures,0,MX,1525675562,43,30.73,-112.95,66.36,3.71
370,Makat,36,KZ,1525675167,39,47.65,53.35,64.83,13.22
371,Rawson,76,AR,1525675563,92,-43.3,-65.11,58.26,11.77
372,Homer,20,US,1525672380,56,59.64,-151.54,42.8,5.82
373,Urubicha,8,BO,1525675564,97,-15.63,-63.08,71.67,2.15
374,Pabrade,0,LT,1525674000,51,55.0,25.78,59.0,5.82
375,Irara,92,TL,1525675565,93,-8.52,127.01,83.28,13.44
376,Otavi,0,NA,1525675566,48,-19.64,17.34,49.8,7.18
377,Liverpool,0,GB,1525674000,100,53.41,-2.98,55.4,3.36
378,Pangody,64,RU,1525675175,100,65.85,74.49,12.0,11.77
379,Kathu,0,ZA,1525675567,53,-27.7,23.05,45.48,3.71
380,Talnakh,8,RU,1525675567,86,69.49,88.39,23.43,4.27
381,Tvoroyri,12,FO,1525674000,75,61.56,-6.81,44.6,3.36
382,Iwanai,0,JP,1525675568,87,42.97,140.51,50.16,10.09
383,Tramandai,12,BR,1525675569,85,-29.98,-50.13,68.16,12.21
384,La Ronge,5,CA,1525672800,57,55.1,-105.3,50.0,3.36
385,Kushima,75,JP,1525672800,83,31.5,131.29,80.6,10.29
386,Garowe,12,SO,1525675570,68,8.41,48.48,81.3,5.17
387,Sinnamary,80,GF,1525675571,97,5.38,-52.96,79.32,12.44
388,Iskateley,8,RU,1525675571,96,67.68,53.15,31.35,3.94
389,Labuhan,48,ID,1525675200,67,-2.54,115.51,86.61,3.71
390,Marsa Matruh,0,EG,1525675572,78,31.35,27.25,65.73,8.63
391,Narasannapeta,0,IN,1525675572,62,18.42,84.04,95.88,9.31
392,Baoying,88,CN,1525675573,76,33.24,119.31,69.42,9.86
393,Kisangani,92,CD,1525675573,100,0.52,25.21,72.75,2.71
394,Sur,0,OM,1525675089,75,22.57,59.53,88.68,4.61
395,Birjand,20,IR,1525672800,22,32.86,59.22,75.2,13.87
396,Juruti,56,BR,1525675574,95,-2.16,-56.09,74.28,2.04
397,Ancud,64,CL,1525675075,92,-41.87,-73.83,44.76,2.59
398,Miri,0,NG,1525675145,74,10.31,9.75,76.71,9.75
399,Vrises,90,GR,1525672200,87,35.49,23.89,60.8,18.34
400,Ladario,0,PT,1525675576,85,40.7,-7.74,49.26,2.26
401,Takaka,32,NZ,1525675576,83,-40.86,172.81,58.71,10.98
402,Mataram,80,ID,1525675577,80,-5.32,105.06,82.29,3.27
403,Yuryuzan,100,RU,1525675577,98,54.87,58.43,42.06,8.63
404,Ostersund,0,SE,1525674000,70,63.18,14.64,48.2,13.87
405,Port Lincoln,64,AU,1525675174,91,-34.72,135.86,64.74,19.26
406,Yara,32,CU,1525675579,97,20.27,-76.95,67.89,1.48
407,Apartado,64,CO,1525675579,100,7.88,-76.63,73.56,1.92
408,Kieta,68,PG,1525675580,94,-6.22,155.63,81.93,5.28
409,Oussouye,0,SN,1525672800,88,12.49,-16.54,69.8,6.93
410,Osa,44,RU,1525675581,76,57.28,55.46,49.44,9.42
411,Terme,40,TR,1525672200,82,41.21,36.97,66.2,2.24
412,Komatipoort,0,MZ,1525675582,82,-25.43,31.96,64.2,3.15
413,Progreso,0,UY,1525672800,88,-34.68,-56.22,62.6,11.41
414,Dolton,1,US,1525674900,81,41.64,-87.61,53.6,7.74
415,Bria,0,CF,1525675584,85,6.54,21.99,74.55,10.2
416,Bogashevo,56,RU,1525675584,54,56.37,85.14,35.04,12.1
417,Chumphon,75,TH,1525672800,66,10.5,99.18,91.4,9.17
418,Ahuimanu,90,US,1525672620,69,21.44,-157.84,75.2,10.29
419,Monaragala,8,LK,1525675585,73,6.87,81.35,90.48,8.3
420,Kupino,80,RU,1525675586,76,54.36,77.31,43.41,16.02
421,Buzmeyin,40,TM,1525672800,20,38.05,58.21,77.0,11.41
422,Great Yarmouth,0,GB,1525672200,87,52.61,1.73,51.8,2.24
423,Riohacha,56,CO,1525675587,100,11.54,-72.91,77.34,4.27
424,Rach Gia,8,VN,1525675589,76,10.02,105.08,89.4,10.54
425,Tondano,40,ID,1525674600,66,1.3,124.91,87.8,6.93
426,Bairnsdale,20,AU,1525675589,46,-37.83,147.63,65.28,10.31
427,Creel,48,MX,1525675493,97,27.75,-107.63,51.06,1.92
428,Barra da Estiva,12,BR,1525675590,95,-13.63,-41.33,63.57,2.93
429,Ust-Tsilma,76,RU,1525675590,92,65.44,52.15,40.35,3.38
430,Ryotsu,75,JP,1525672800,100,38.08,138.43,57.2,11.41
431,Adrar,12,DZ,1525672800,14,27.87,-0.29,71.6,6.93
432,Gombe,8,NG,1525675592,74,10.28,11.17,80.94,16.46
433,Svetlaya,20,RU,1525675593,92,46.54,138.33,39.27,7.29
434,Campos,0,PT,1525672800,100,41.54,-8.28,53.6,3.36
435,Raudeberg,75,NO,1525674000,93,61.99,5.14,48.2,11.41
436,Zaraza,76,VE,1525675595,89,9.35,-65.33,74.73,5.61
437,Shu,0,KZ,1525675595,33,43.6,73.76,61.5,9.75
438,Boralday,20,KZ,1525672800,54,43.36,76.86,53.6,6.71
439,Tonstad,75,NO,1525674000,54,58.66,6.71,57.2,6.93
440,Chingirlau,8,KZ,1525675597,45,51.09,54.08,61.77,12.77
441,Zhicheng,12,CN,1525675597,65,35.04,112.59,76.53,3.38
442,Kailua,90,US,1525672620,69,21.39,-157.74,75.2,10.29
443,General Cepeda,12,MX,1525675598,90,25.38,-101.48,45.84,2.71
444,Matozinhos,0,BR,1525672800,93,-19.56,-44.08,60.8,5.82
445,Taree,12,AU,1525672800,60,-31.91,152.46,71.6,11.41
446,Zabol,20,IR,1525672800,13,31.03,61.49,89.6,21.92
447,Iratosu,0,RO,1525672800,63,46.32,21.2,64.4,9.17
448,Gorontalo,64,ID,1525675600,83,0.54,123.06,83.19,3.15
449,Marshalltown,1,US,1525674900,47,42.04,-92.91,59.0,8.05
450,Madimba,40,CM,1525672800,100,4.42,9.93,77.0,1.12
451,Guhagar,12,IN,1525675602,86,17.48,73.19,86.61,5.73
452,Corinto,68,BR,1525675602,93,-18.36,-44.46,66.81,2.93
453,Touros,80,BR,1525675603,100,-5.2,-35.46,75.27,8.41
454,Ati,0,TD,1525675603,40,13.21,18.34,86.7,9.53
455,Carlow,75,IE,1525672800,93,52.84,-6.93,50.0,4.61
456,Jabinyanah,20,TN,1525672800,82,35.03,10.91,62.6,6.93
457,Mayo,90,CA,1525672800,47,63.59,-135.9,37.4,2.24
458,Bonthe,88,SL,1525675073,98,7.53,-12.5,78.06,2.71
459,Salinopolis,92,BR,1525675605,100,-0.61,-47.36,79.41,8.97
460,Chegdomyn,20,RU,1525675605,39,51.13,133.04,52.59,4.83
461,Wyndham,0,GB,1525674000,87,51.61,-3.54,59.0,2.24
462,Jalu,0,LY,1525675075,40,29.03,21.55,67.53,4.61
463,Muli,0,IN,1525675606,36,22.62,71.45,97.86,12.44
464,Ivanovskoye,8,RU,1525675607,60,51.61,34.94,69.96,10.98
465,Benghazi,0,LY,1525672800,49,32.12,20.07,71.6,9.17
466,Xuddur,80,SO,1525675608,93,4.12,43.89,74.82,7.4
467,Hitachi,90,JP,1525672980,87,36.6,140.65,59.0,10.29
468,Kassala,0,SD,1525675608,17,15.45,36.38,97.77,5.06
469,Lyubech,100,UA,1525675609,78,51.7,30.66,62.13,16.02
470,Pleasanton,1,US,1525675200,71,37.66,-121.87,60.8,3.36
471,Doembang Nangbuat,12,TH,1525675609,67,14.85,100.1,94.53,4.61
472,Kununurra,0,AU,1525672800,16,-15.77,128.74,93.2,10.29
473,Kindia,8,GN,1525675610,90,10.05,-12.86,66.99,1.92
474,Meadow Lake,0,CA,1525675610,41,54.13,-108.44,57.09,3.83
475,Chateau-Thierry,0,FR,1525674600,76,49.05,3.4,62.6,6.93
476,Zeya,0,RU,1525675611,25,53.74,127.27,58.98,3.49
477,Mandalgovi,0,MN,1525675565,53,45.76,106.27,72.21,6.96
478,Lubon,64,PH,1525675612,83,17.03,120.81,78.33,2.37
479,Orsha,0,BY,1525672800,62,54.51,30.43,59.0,11.18
480,Ler,75,NO,1525674000,87,63.2,10.3,48.2,2.24
481,Padong,20,PH,1525672800,63,18.05,120.76,91.4,6.93
482,Puerto Carreno,92,CO,1525675614,99,6.19,-67.49,68.16,2.93
483,Cotonou,40,BJ,1525672800,88,6.37,2.43,80.6,6.93
484,Cabra,0,ES,1525672800,100,37.47,-4.43,51.8,2.15
485,Lodwar,56,KE,1525675615,87,3.12,35.6,75.63,2.37
486,Key Largo,1,US,1525672560,100,25.09,-80.45,71.6,5.95
487,Kabare,24,RW,1525675617,91,-1.65,29.38,65.19,3.94
488,Hokitika,92,NZ,1525675617,97,-42.72,170.96,56.91,15.9
489,Tripoli,75,GR,1525672200,93,37.51,22.37,62.6,5.82
490,Islamkot,0,PK,1525675618,56,24.7,70.18,91.29,14.0
491,Pacific Grove,1,US,1525674900,71,36.62,-121.92,55.4,4.16
492,Koshurnikovo,64,RU,1525675618,58,54.3,93.39,30.0,10.42
493,Burnie,88,AU,1525675619,93,-41.05,145.91,62.04,31.56
494,Mana,20,RS,1525672800,100,43.52,20.24,60.8,1.12
495,Harper,1,US,1525673700,82,30.3,-99.24,60.8,4.5
496,Dehloran,8,IR,1525675620,57,32.69,47.27,84.0,0.58
497,Pomabamba,32,PE,1525675621,100,-8.82,-77.46,40.44,1.59
498,Quang Ngai,20,VN,1525675621,87,15.12,108.8,83.37,1.92
499,Agadir,40,MA,1525672800,87,30.42,-9.58,59.0,9.17
500,Pangkalanbuun,64,ID,1525675623,59,-2.68,111.62,91.65,7.63
501,Bemidji,1,US,1525673700,70,47.48,-94.89,55.4,2.71
502,Kaeo,0,NZ,1525675171,60,-35.1,173.78,58.62,9.42
503,Hovd,75,NO,1525672200,87,63.83,10.7,50.0,9.17
504,Springfield,1,US,1525672320,82,37.22,-93.29,59.0,3.36
505,Caconda,0,AO,1525675626,81,-13.73,15.06,53.31,2.71
506,Safford,1,US,1525672260,11,32.83,-109.71,73.4,5.82
507,Piopio,44,CL,1525675626,99,-42.79,-73.57,47.37,2.59
508,Samokov,20,MK,1525672800,82,41.68,21.15,64.4,1.92
509,Brandfort,0,ZA,1525672800,75,-28.7,26.46,46.4,1.12
510,Cuamba,20,MZ,1525675627,82,-14.8,36.54,68.16,4.38
511,Simao Dias,75,BR,1525672800,100,-4.45,-69.97,73.4,2.93
512,Hay River,75,CA,1525672800,60,60.82,-115.79,41.0,6.93
513,Tsevie,20,TG,1525672800,94,6.43,1.21,78.8,5.82
514,Eresos,20,GR,1525672200,82,39.17,25.93,66.2,4.7
515,Newport,0,GB,1525672200,76,51.59,-3.0,57.2,6.93
516,Port Pirie,20,AU,1525672800,25,-33.18,138.01,73.4,14.99
517,Barkhan,0,PK,1525675631,30,29.9,69.52,83.28,4.16
518,Egvekinot,36,RU,1525675069,87,66.32,-179.17,19.2,5.17
519,Norwich,0,GB,1525674000,81,52.63,1.29,55.4,2.24
520,Hamilton,75,BM,1525672500,88,32.3,-64.78,71.6,16.11
521,Hirara,40,JP,1525672800,74,24.8,125.28,84.2,20.8
522,Tubinskiy,90,RU,1525672800,28,52.89,58.22,59.0,26.84
523,Anito,44,PH,1525675634,100,12.45,125.29,83.37,9.08
524,Muravlenko,8,RU,1525675634,100,63.79,74.5,16.59,10.87
525,Eldorado,0,MX,1525675635,58,24.32,-107.36,75.81,1.92
526,Liepaja,0,LV,1525674000,71,56.52,21.02,59.0,4.7
527,Kuytun,76,RU,1525675636,74,54.34,101.51,37.83,8.08
528,Jaumave,92,MX,1525675636,100,23.41,-99.38,58.53,1.36
529,Honningsvag,40,NO,1525674000,91,70.98,25.97,39.2,10.29
530,Hansot,0,IN,1525675638,71,21.59,72.81,88.59,9.75
531,Mount Isa,40,AU,1525672800,23,-20.73,139.49,87.8,8.05
532,Pochutla,0,MX,1525675639,100,15.74,-96.47,83.55,6.51
533,Acapulco,40,MX,1525672260,83,16.86,-99.88,82.4,2.24
534,Ust-Kulom,80,RU,1525675640,93,61.69,53.69,39.81,6.06
535,Jiexiu,36,CN,1525675641,63,37.02,111.92,71.13,3.49
536,Baykit,32,RU,1525675641,58,61.68,96.39,23.16,7.52
537,Igarka,88,RU,1525675641,99,67.47,86.57,28.38,11.54
538,Gayeri,8,BF,1525675642,67,12.65,0.49,80.31,12.33
539,Constitucion,88,MX,1525675114,95,23.99,-104.67,54.48,2.93
540,Acari,36,BR,1525675643,92,-6.44,-36.64,67.26,10.42
541,Spokane,90,US,1525672680,93,47.66,-117.42,57.2,6.73
542,Omboue,88,GA,1525675180,100,-1.57,9.26,79.77,6.96
543,Esso,0,RU,1525675644,79,55.93,158.7,31.62,2.82
544,Concepcion del Uruguay,92,AR,1525675644,84,-32.48,-58.24,69.6,15.12
545,Lata,80,IN,1525675058,100,30.78,78.62,51.42,1.81
546,Zelenogorskiy,75,RU,1525672800,51,55.03,87.0,37.4,24.61
547,Shahr-e Babak,0,IR,1525675155,40,30.12,55.12,73.2,4.61
548,Nguruka,0,TZ,1525675646,59,-5.11,31.04,70.14,3.6
549,Banda Aceh,32,ID,1525675051,89,5.56,95.32,84.0,3.71
550,Ishigaki,40,JP,1525672800,79,24.34,124.16,84.2,19.46
551,Ambositra,32,MG,1525675647,94,-20.53,47.24,63.75,3.15
552,Arman,36,RU,1525672800,65,59.7,150.17,41.0,13.42
553,Sekudai,75,MY,1525674600,59,1.53,103.67,93.2,5.82
554,Qiongshan,20,CN,1525672800,63,20.01,110.35,93.2,6.71
555,Quirinopolis,88,BR,1525675648,77,-18.45,-50.45,72.3,4.94
556,Altus,1,US,1525673700,64,34.64,-99.33,71.6,10.29
557,Piacabucu,44,BR,1525675650,97,-10.41,-36.43,72.84,5.17
558,San Cristobal,90,EC,1525672800,100,-0.39,-78.55,51.8,3.36
559,Mangai,92,CD,1525675650,100,-4.07,19.59,69.69,3.04
560,Bontang,12,ID,1525675143,98,0.12,117.47,84.0,3.04
561,Tamandare,36,BR,1525675651,98,-8.28,-70.75,72.3,2.59
562,Pinega,76,RU,1525675651,99,64.7,43.39,42.24,6.4
563,La Fria,75,VE,1525672800,78,8.22,-72.25,78.8,2.24
564,Coquimbo,0,CL,1525672800,87,-29.95,-71.34,53.6,8.05
565,Okakarara,0,NA,1525675653,55,-20.59,17.46,46.29,5.95
566,Nakusp,20,CA,1525675653,71,50.24,-117.8,46.83,1.7
567,Qingdao,0,CN,1525672800,30,36.09,120.35,80.6,8.95
568,Hastings,0,NZ,1525675654,83,-39.64,176.84,59.88,12.1
569,Kidal,0,ML,1525675655,27,18.44,1.41,62.58,2.71
570,Ambon,0,FR,1525674600,82,47.55,-2.56,62.6,4.7
571,Keetmanshoop,0,NA,1525672800,27,-26.57,18.15,62.6,2.24
572,Ambilobe,0,MG,1525675657,57,-13.19,49.05,81.66,4.38
573,Chapais,1,CA,1525672800,85,49.78,-74.86,19.4,2.71
